,YYYYMMSOON,품목코드 ,품목명,품종코드 ,품종명,등급명,유통단계별 무게 ,유통단계별 단위 ,평균가격(원),전순 평균가격(원) PreVious SOON,전달 평균가격(원) PreVious MMonth,전년 평균가격(원) PreVious YeaR,평년 평균가격(원) Common Year SOON
239,202108하순,214.0,상추,2.0,청,상품,g,100.0,1849.0,0.0,1573.0,2164.0,1511.0
240,202109상순,214.0,상추,2.0,청,상품,g,100.0,2204.0,0.0,1607.0,1533.0,1462.33333333333
241,202109중순,214.0,상추,2.0,청,상품,g,100.0,2403.0,0.0,1714.0,1584.0,1417.0
242,202109하순,214.0,상추,2.0,청,상품,g,100.0,2043.0,0.0,1849.0,1530.0,1393.33333333333
243,202110상순,214.0,상추,2.0,청,상품,g,100.0,1228.0,0.0,2204.0,1264.0,1262.0
244,202110중순,214.0,상추,2.0,청,상품,g,100.0,1365.0,0.0,2403.0,965.0,1167.66666666666
245,202110하순,214.0,상추,2.0,청,상품,g,100.0,2072.0,0.0,2043.0,834.0,1016.66666666666
246,202111상순,214.0,상추,2.0,청,상품,g,100.0,1734.0,0.0,1228.0,760.0,868.666666666666
247,202111중순,214.0,상추,2.0,청,상품,g,100.0,1208.0,0.0,1365.0,723.0,843.0
248,202111하순,214.0,상추,2.0,청,상품,g,100.0,1062.0,0.0,2072.0,690.0,762.666666666666
249,202112상순,214.0,상추,2.0,청,상품,g,100.0,946.0,0.0,1734.0,705.0,717.0
250,202112중순,214.0,상추,2.0,청,상품,g,100.0,931.0,0.0,1208.0,835.0,742.666666666666
251,202112하순,214.0,상추,2.0,청,상품,g,100.0,988.0,0.0,1062.0,920.0,815.333333333333
252,202201상순,214.0,상추,2.0,청,상품,g,100.0,1206.0,0.0,946.0,1094.0,931.333333333333
253,202201중순,214.0,상추,2.0,청,상품,g,100.0,1273.0,0.0,931.0,1221.0,991.333333333333
254,202201하순,214.0,상추,2.0,청,상품,g,100.0,1268.0,0.0,988.0,1214.0,986.0
255,202202상순,214.0,상추,2.0,청,상품,g,100.0,1270.0,0.0,1206.0,1191.0,973.0
256,202202중순,214.0,상추,2.0,청,상품,g,100.0,1113.0,0.0,1273.0,1139.0,896.666666666666
257,202202하순,214.0,상추,2.0,청,상품,g,100.0,915.0,0.0,1268.0,1048.0,826.0
258,202203상순,214.0,상추,2.0,청,상품,g,100.0,891.0,0.0,1270.0,885.0,730.333333333333
259,202203중순,214.0,상추,2.0,청,상품,g,100.0,907.0,0.0,1113.0,887.0,713.0
260,202203하순,214.0,상추,2.0,청,상품,g,100.0,901.0,0.0,915.0,896.0,708.0
261,202204상순,214.0,상추,2.0,청,상품,g,100.0,1060.0,0.0,891.0,869.0,708.333333333333
262,202204중순,214.0,상추,2.0,청,상품,g,100.0,1075.0,0.0,907.0,880.0,703.333333333333
263,202204하순,214.0,상추,2.0,청,상품,g,100.0,1001.0,0.0,901.0,888.0,706.333333333333
264,202205상순,214.0,상추,2.0,청,상품,g,100.0,975.0,0.0,1060.0,861.0,721.0
265,202205중순,214.0,상추,2.0,청,상품,g,100.0,1002.0,0.0,1075.0,865.0,741.333333333333
266,202205하순,214.0,상추,2.0,청,상품,g,100.0,951.0,0.0,1001.0,892.0,742.333333333333
267,202206상순,214.0,상추,2.0,청,상품,g,100.0,969.0,0.0,975.0,1010.0,753.666666666666
268,202206중순,214.0,상추,2.0,청,상품,g,100.0,1027.0,0.0,1002.0,1026.0,735.333333333333
269,202206하순,214.0,상추,2.0,청,상품,g,100.0,1178.0,0.0,951.0,1056.0,815.333333333333
270,202207상순,214.0,상추,2.0,청,상품,g,100.0,1788.0,0.0,969.0,1092.0,864.0
271,202207중순,214.0,상추,2.0,청,상품,g,100.0,2256.0,0.0,1027.0,1214.0,1146.66666666666
272,202207하순,214.0,상추,2.0,청,상품,g,100.0,2050.0,0.0,1178.0,1573.0,1303.33333333333
273,202208상순,214.0,상추,2.0,청,상품,g,100.0,1860.0,0.0,1788.0,1607.0,1596.0
274,202208중순,214.0,상추,2.0,청,상품,g,100.0,2063.0,0.0,2256.0,1714.0,1685.66666666666
275,202208하순,214.0,상추,2.0,청,상품,g,100.0,2430.0,0.0,2050.0,1849.0,1681.0
276,202209상순,214.0,상추,2.0,청,상품,g,100.0,2369.0,0.0,1860.0,2204.0,1667.33333333333
277,202209중순,214.0,상추,2.0,청,상품,g,100.0,2102.0,0.0,2063.0,2403.0,1664.66666666666
278,202209하순,214.0,상추,2.0,청,상품,g,100.0,1461.0,0.0,2430.0,2043.0,1560.66666666666
279,202210상순,214.0,상추,2.0,청,상품,g,100.0,1213.0,0.0,2369.0,1228.0,1300.66666666666
280,202210중순,214.0,상추,2.0,청,상품,g,100.0,1122.0,0.0,2102.0,1365.0,1122.33333333333
281,202210하순,214.0,상추,2.0,청,상품,g,100.0,1134.0,0.0,1461.0,2072.0,1099.66666666666
282,202211상순,214.0,상추,2.0,청,상품,g,100.0,1034.0,0.0,1213.0,1734.0,936.666666666666
283,202211중순,214.0,상추,2.0,청,상품,g,100.0,940.0,0.0,1122.0,1208.0,843.0
284,202211하순,214.0,상추,2.0,청,상품,g,100.0,909.0,0.0,1134.0,1062.0,802.333333333333
285,202212상순,214.0,상추,2.0,청,상품,g,100.0,881.0,0.0,1034.0,946.0,790.666666666666
286,202212중순,214.0,상추,2.0,청,상품,g,100.0,1064.0,0.0,940.0,931.0,825.666666666666
287,202212하순,214.0,상추,2.0,청,상품,g,100.0,1358.0,0.0,909.0,988.0,895.333333333333
288,201901상순,411.0,사과,5.0,후지,상품,개,10.0,22487.0,0.0,22840.0,20361.0,20696.6666666666
289,201901중순,411.0,사과,5.0,후지,상품,개,10.0,23655.0,0.0,22237.0,20359.0,20851.0
290,201901하순,411.0,사과,5.0,후지,상품,개,10.0,25155.0,0.0,21908.0,20653.0,21606.6666666666
291,201902상순,411.0,사과,5.0,후지,상품,개,10.0,26059.0,0.0,22487.0,20563.0,22033.3333333333
292,201902중순,411.0,사과,5.0,후지,상품,개,10.0,24721.0,0.0,23655.0,21779.0,22334.6666666666
293,201902하순,411.0,사과,5.0,후지,상품,개,10.0,24274.0,0.0,25155.0,21465.0,21610.0
294,201903상순,411.0,사과,5.0,후지,상품,개,10.0,24027.0,0.0,26059.0,21384.0,21707.3333333333
295,201903중순,411.0,사과,5.0,후지,상품,개,10.0,24501.0,0.0,24721.0,20695.0,21438.3333333333
296,201903하순,411.0,사과,5.0,후지,상품,개,10.0,24797.0,0.0,24274.0,20794.0,21247.0
297,201904상순,411.0,사과,5.0,후지,상품,개,10.0,24550.0,0.0,24027.0,19019.0,20653.3333333333
298,201904중순,411.0,사과,5.0,후지,상품,개,10.0,24522.0,0.0,24501.0,19208.0,20791.3333333333
299,201904하순,411.0,사과,5.0,후지,상품,개,10.0,25049.0,0.0,24797.0,19154.0,20969.0
300,201905상순,411.0,사과,5.0,후지,상품,개,10.0,24884.0,0.0,24550.0,19074.0,20859.3333333333
301,201905중순,411.0,사과,5.0,후지,상품,개,10.0,24801.0,0.0,24522.0,18943.0,20961.3333333333
302,201905하순,411.0,사과,5.0,후지,상품,개,10.0,24563.0,0.0,25049.0,18681.0,21147.6666666666
303,201906상순,411.0,사과,5.0,후지,상품,개,10.0,25007.0,0.0,24884.0,19018.0,21271.0
304,201906중순,411.0,사과,5.0,후지,상품,개,10.0,25248.0,0.0,24801.0,19762.0,21896.0
305,201906하순,411.0,사과,5.0,후지,상품,개,10.0,25287.0,0.0,24563.0,19393.0,22429.0
306,201907상순,411.0,사과,5.0,후지,상품,개,10.0,25319.0,0.0,25007.0,19508.0,22869.6666666666
307,201907중순,411.0,사과,5.0,후지,상품,개,10.0,25760.0,0.0,25248.0,19496.0,23066.0
308,201907하순,411.0,사과,5.0,후지,상품,개,10.0,25340.0,0.0,25287.0,19680.0,23229.6666666666
309,201908상순,411.0,사과,5.0,후지,상품,개,10.0,25279.0,0.0,25319.0,20287.0,23778.3333333333
310,201908중순,411.0,사과,5.0,후지,상품,개,10.0,25974.0,0.0,25760.0,20956.0,24041.0
311,201908하순,411.0,사과,5.0,후지,상품,개,10.0,26672.0,0.0,25340.0,21807.0,23489.6666666666
312,201909상순,411.0,사과,5.0,후지,상품,개,10.0,25700.0,0.0,25279.0,21299.0,0.0
313,201909중순,411.0,사과,7.0,홍로,상품,개,10.0,22939.0,0.0,0.0,26228.0,22687.3333333333
314,201909하순,411.0,사과,7.0,홍로,상품,개,10.0,20127.0,0.0,22149.0,26219.0,21663.3333333333
315,201910상순,411.0,사과,7.0,홍로,상품,개,10.0,18516.0,0.0,24601.0,25411.0,21509.6666666666
316,201910중순,411.0,사과,7.0,홍로,상품,개,10.0,17644.0,0.0,22939.0,22474.0,20813.6666666666
317,201910하순,411.0,사과,5.0,후지,상품,개,10.0,18986.0,0.0,0.0,22336.0,0.0
318,201911상순,411.0,사과,5.0,후지,상품,개,10.0,19086.0,0.0,0.0,21791.0,20334.3333333333
319,201911중순,411.0,사과,5.0,후지,상품,개,10.0,18829.0,0.0,0.0,22815.0,20160.0
320,201911하순,411.0,사과,5.0,후지,상품,개,10.0,18390.0,0.0,18986.0,23070.0,20430.0
321,201912상순,411.0,사과,5.0,후지,상품,개,10.0,17583.0,0.0,19086.0,22840.0,20102.6666666666
322,201912중순,411.0,사과,5.0,후지,상품,개,10.0,17745.0,0.0,18829.0,22237.0,20100.3333333333
323,201912하순,411.0,사과,5.0,후지,상품,개,10.0,18227.0,0.0,18390.0,21908.0,20250.6666666666
324,202001상순,411.0,사과,5.0,후지,상품,개,10.0,18290.0,0.0,17583.0,22487.0,20696.6666666666
325,202001중순,411.0,사과,5.0,후지,상품,개,10.0,18508.0,0.0,17745.0,23655.0,20851.0
326,202001하순,411.0,사과,5.0,후지,상품,개,10.0,20625.0,0.0,18227.0,25155.0,21606.6666666666
327,202002상순,411.0,사과,5.0,후지,상품,개,10.0,20006.0,0.0,18290.0,26059.0,22033.3333333333
328,202002중순,411.0,사과,5.0,후지,상품,개,10.0,20348.0,0.0,18508.0,24721.0,22716.6666666666
329,202002하순,411.0,사과,5.0,후지,상품,개,10.0,20120.0,0.0,20625.0,24274.0,22289.3333333333
330,202003상순,411.0,사과,5.0,후지,상품,개,10.0,19667.0,0.0,20006.0,24027.0,22160.3333333333
331,202003중순,411.0,사과,5.0,후지,상품,개,10.0,19802.0,0.0,20348.0,24501.0,21629.0
332,202003하순,411.0,사과,5.0,후지,상품,개,10.0,19988.0,0.0,20120.0,24797.0,21319.3333333333
333,202004상순,411.0,사과,5.0,후지,상품,개,10.0,20251.0,0.0,19667.0,24550.0,20676.6666666666
334,202004중순,411.0,사과,5.0,후지,상품,개,10.0,20484.0,0.0,19802.0,24522.0,20936.3333333333
335,202004하순,411.0,사과,5.0,후지,상품,개,10.0,20518.0,0.0,19988.0,25049.0,21238.3333333333
336,202005상순,411.0,사과,5.0,후지,상품,개,10.0,20940.0,0.0,20251.0,24884.0,21508.3333333333
337,202005중순,411.0,사과,5.0,후지,상품,개,10.0,21526.0,0.0,20484.0,24801.0,21448.6666666666
338,202005하순,411.0,사과,5.0,후지,상품,개,10.0,21783.0,0.0,20518.0,24563.0,21296.6666666666
339,202006상순,411.0,사과,5.0,후지,상품,개,10.0,22451.0,0.0,20940.0,25007.0,21332.0
340,202006중순,411.0,사과,5.0,후지,상품,개,10.0,22908.0,0.0,21526.0,25248.0,21944.3333333333
341,202006하순,411.0,사과,5.0,후지,상품,개,10.0,23682.0,0.0,21783.0,25287.0,22429.0
342,202007상순,411.0,사과,5.0,후지,상품,개,10.0,24879.0,0.0,22451.0,25319.0,22825.6666666666
343,202007중순,411.0,사과,5.0,후지,상품,개,10.0,26075.0,0.0,22908.0,25760.0,22995.0
344,202007하순,411.0,사과,5.0,후지,상품,개,10.0,26973.0,0.0,23682.0,25340.0,22970.6666666666
345,202008상순,411.0,사과,5.0,후지,상품,개,10.0,27768.0,0.0,24879.0,25279.0,23419.3333333333
346,202008중순,411.0,사과,5.0,후지,상품,개,10.0,27649.0,0.0,26075.0,25974.0,23929.6666666666
347,202008하순,411.0,사과,5.0,후지,상품,개,10.0,26514.0,0.0,26973.0,26672.0,23489.6666666666
348,202009상순,411.0,사과,7.0,홍로,상품,개,10.0,30369.0,0.0,0.0,24601.0,23844.3333333333
349,202009중순,411.0,사과,7.0,홍로,상품,개,10.0,29944.0,0.0,0.0,22939.0,23123.0
350,202009하순,411.0,사과,7.0,홍로,상품,개,10.0,32610.0,0.0,31815.0,20127.0,21663.3333333333
351,202010상순,411.0,사과,7.0,홍로,상품,개,10.0,30579.0,0.0,30369.0,18516.0,21509.6666666666
352,202010중순,411.0,사과,7.0,홍로,상품,개,10.0,29534.0,0.0,29944.0,17644.0,20813.6666666666
353,202010하순,411.0,사과,5.0,후지,상품,개,10.0,29715.0,0.0,0.0,18986.0,0.0
354,202011상순,411.0,사과,5.0,후지,상품,개,10.0,29099.0,0.0,0.0,19086.0,20129.6666666666
355,202011중순,411.0,사과,5.0,후지,상품,개,10.0,27159.0,0.0,0.0,18829.0,20126.3333333333
356,202011하순,411.0,사과,5.0,후지,상품,개,10.0,26942.0,0.0,29715.0,18390.0,19863.6666666666
357,202012상순,411.0,사과,5.0,후지,상품,개,10.0,26543.0,0.0,29099.0,17583.0,19611.6666666666
358,202012중순,411.0,사과,5.0,후지,상품,개,10.0,27134.0,0.0,27159.0,17745.0,19575.3333333333
359,202012하순,411.0,사과,5.0,후지,상품,개,10.0,27935.0,0.0,26942.0,18227.0,19822.6666666666
360,202101상순,411.0,사과,5.0,후지,상품,개,10.0,28046.0,0.0,26543.0,18290.0,19678.0
361,202101중순,411.0,사과,5.0,후지,상품,개,10.0,29954.0,0.0,27134.0,18508.0,20233.6666666666
362,202101하순,411.0,사과,5.0,후지,상품,개,10.0,32624.0,0.0,27935.0,20625.0,21138.3333333333
363,202102상순,411.0,사과,5.0,후지,상품,개,10.0,35339.0,0.0,28046.0,20006.0,20934.3333333333
364,202102중순,411.0,사과,5.0,후지,상품,개,10.0,34097.0,0.0,29954.0,20348.0,21259.0
365,202102하순,411.0,사과,5.0,후지,상품,개,10.0,33901.0,0.0,32624.0,20120.0,20904.6666666666
366,202103상순,411.0,사과,5.0,후지,상품,개,10.0,33066.0,0.0,35339.0,19667.0,20707.0
367,202103중순,411.0,사과,5.0,후지,상품,개,10.0,32917.0,0.0,34097.0,19802.0,20447.6666666666
368,202103하순,411.0,사과,5.0,후지,상품,개,10.0,33668.0,0.0,33901.0,19988.0,20367.3333333333
369,202104상순,411.0,사과,5.0,후지,상품,개,10.0,34642.0,0.0,33066.0,20251.0,19819.0
370,202104중순,411.0,사과,5.0,후지,상품,개,10.0,34038.0,0.0,32917.0,20484.0,19900.3333333333
371,202104하순,411.0,사과,5.0,후지,상품,개,10.0,34235.0,0.0,33668.0,20518.0,20096.0
372,202105상순,411.0,사과,5.0,후지,상품,개,10.0,34263.0,0.0,34642.0,20940.0,20389.0
373,202105중순,411.0,사과,5.0,후지,상품,개,10.0,34386.0,0.0,34038.0,21526.0,20511.6666666666
374,202105하순,411.0,사과,5.0,후지,상품,개,10.0,32823.0,0.0,34235.0,21783.0,20442.3333333333
375,202106상순,411.0,사과,5.0,후지,상품,개,10.0,33013.0,0.0,34263.0,22451.0,20576.6666666666
376,202106중순,411.0,사과,5.0,후지,상품,개,10.0,34023.0,0.0,34386.0,22908.0,21233.0
377,202106하순,411.0,사과,5.0,후지,상품,개,10.0,33554.0,0.0,32823.0,23682.0,21974.6666666666
378,202107상순,411.0,사과,5.0,후지,상품,개,10.0,33200.0,0.0,33013.0,24879.0,22679.0
379,202107중순,411.0,사과,5.0,후지,상품,개,10.0,33300.0,0.0,34023.0,26075.0,22995.0
380,202107하순,411.0,사과,5.0,후지,상품,개,10.0,33472.0,0.0,33554.0,26973.0,22970.6666666666
381,202108상순,411.0,사과,5.0,후지,상품,개,10.0,32511.0,0.0,33200.0,27768.0,23419.3333333333
382,202108중순,411.0,사과,5.0,후지,상품,개,10.0,31031.0,0.0,33300.0,27649.0,23929.6666666666
383,202108하순,411.0,사과,5.0,후지,상품,개,10.0,30531.0,0.0,33472.0,26514.0,23650.6666666666
384,202109상순,411.0,사과,7.0,홍로,상품,개,10.0,24907.0,0.0,0.0,30369.0,24993.0
385,202109중순,411.0,사과,7.0,홍로,상품,개,10.0,26407.0,0.0,0.0,29944.0,24813.0
386,202109하순,411.0,사과,7.0,홍로,상품,개,10.0,27970.0,0.0,25199.0,32610.0,23096.3333333333
387,202110상순,411.0,사과,7.0,홍로,상품,개,10.0,25009.0,0.0,24907.0,30579.0,22781.3333333333
388,202110중순,411.0,사과,7.0,홍로,상품,개,10.0,23608.0,0.0,26407.0,29534.0,21546.3333333333
389,202110하순,411.0,사과,6.0,홍로,상품,개,10.0,24748.5,0.0,13203.5,29316.5,20837.99999999995
390,202111상순,411.0,사과,5.0,후지,상품,개,10.0,25889.0,0.0,0.0,29099.0,20129.6666666666
391,202111중순,411.0,사과,5.0,후지,상품,개,10.0,26004.0,0.0,0.0,27159.0,20743.6666666666
392,202111하순,411.0,사과,5.0,후지,상품,개,10.0,25494.0,0.0,0.0,26942.0,20673.0
393,202112상순,411.0,사과,5.0,후지,상품,개,10.0,26144.0,0.0,25889.0,26543.0,20539.6666666666
394,202112중순,411.0,사과,5.0,후지,상품,개,10.0,26177.0,0.0,26004.0,27134.0,20197.0
395,202112하순,411.0,사과,5.0,후지,상품,개,10.0,25952.0,0.0,25494.0,27935.0,20237.3333333333
396,202201상순,411.0,사과,5.0,후지,상품,개,10.0,26041.0,0.0,26144.0,28046.0,20438.6666666666
397,202201중순,411.0,사과,5.0,후지,상품,개,10.0,26579.0,0.0,26177.0,29954.0,21164.0
398,202201하순,411.0,사과,5.0,후지,상품,개,10.0,27189.0,0.0,25952.0,32624.0,22292.0
399,202202상순,411.0,사과,5.0,후지,상품,개,10.0,26907.0,0.0,26041.0,35339.0,22250.6666666666
400,202202중순,411.0,사과,5.0,후지,상품,개,10.0,26163.0,0.0,26579.0,34097.0,22282.6666666666
401,202202하순,411.0,사과,5.0,후지,상품,개,10.0,26867.0,0.0,27189.0,33901.0,21953.0
402,202203상순,411.0,사과,5.0,후지,상품,개,10.0,27734.0,0.0,26907.0,33066.0,21692.6666666666
403,202203중순,411.0,사과,5.0,후지,상품,개,10.0,27178.0,0.0,26163.0,32917.0,21666.0
404,202203하순,411.0,사과,5.0,후지,상품,개,10.0,27165.0,0.0,26867.0,33668.0,21859.6666666666
405,202204상순,411.0,사과,5.0,후지,상품,개,10.0,27207.0,0.0,27734.0,34642.0,21273.3333333333
406,202204중순,411.0,사과,5.0,후지,상품,개,10.0,27899.0,0.0,27178.0,34038.0,21404.6666666666
407,202204하순,411.0,사과,5.0,후지,상품,개,10.0,28561.0,0.0,27165.0,34235.0,21573.6666666666
408,202205상순,411.0,사과,5.0,후지,상품,개,10.0,28752.0,0.0,27207.0,34263.0,21632.6666666666
409,202205중순,411.0,사과,5.0,후지,상품,개,10.0,28292.0,0.0,27899.0,34386.0,21756.6666666666
410,202205하순,411.0,사과,5.0,후지,상품,개,10.0,28180.0,0.0,28561.0,32823.0,21675.6666666666
411,202206상순,411.0,사과,5.0,후지,상품,개,10.0,28270.0,0.0,28752.0,33013.0,22235.3333333333
412,202206중순,411.0,사과,5.0,후지,상품,개,10.0,28576.0,0.0,28292.0,34023.0,23061.6666666666
413,202206하순,411.0,사과,5.0,후지,상품,개,10.0,29374.0,0.0,28180.0,33554.0,23736.3333333333
414,202207상순,411.0,사과,5.0,후지,상품,개,10.0,29779.0,0.0,28270.0,33200.0,24195.3333333333
415,202207중순,411.0,사과,5.0,후지,상품,개,10.0,30045.0,0.0,28576.0,33300.0,24642.3333333333
416,202207하순,411.0,사과,5.0,후지,상품,개,10.0,29821.0,0.0,29374.0,33472.0,24817.6666666666
417,202208상순,411.0,사과,5.0,후지,상품,개,10.0,30236.0,0.0,29779.0,32511.0,25147.3333333333
418,202208중순,411.0,사과,5.0,후지,상품,개,10.0,30658.0,0.0,30045.0,31031.0,25437.0
419,202208하순,411.0,사과,5.0,후지,상품,개,10.0,31935.0,0.0,29821.0,30531.0,25078.6666666666
420,202209상순,411.0,사과,7.0,홍로,상품,개,10.0,28922.0,0.0,0.0,24907.0,25285.6666666666
421,202209중순,411.0,사과,7.0,홍로,상품,개,10.0,29708.0,0.0,0.0,26407.0,25191.3333333333
422,202209하순,411.0,사과,7.0,홍로,상품,개,10.0,23555.0,0.0,30754.0,27970.0,24815.3333333333
423,202210상순,411.0,사과,7.0,홍로,상품,개,10.0,23823.0,0.0,28922.0,25009.0,24117.3333333333
424,202210중순,411.0,사과,7.0,홍로,상품,개,10.0,26200.0,0.0,29708.0,23608.0,22586.3333333333
425,202210하순,411.0,사과,5.0,후지,상품,개,10.0,23618.0,0.0,0.0,0.0,0.0
426,202211상순,411.0,사과,5.0,후지,상품,개,10.0,22887.0,0.0,0.0,25889.0,22397.3333333333
427,202211중순,411.0,사과,5.0,후지,상품,개,10.0,22490.0,0.0,0.0,26004.0,23135.3333333333
428,202211하순,411.0,사과,5.0,후지,상품,개,10.0,22303.0,0.0,23618.0,25494.0,23041.0
429,202212상순,411.0,사과,5.0,후지,상품,개,10.0,22206.0,0.0,22887.0,26144.0,23185.6666666666
430,202212중순,411.0,사과,5.0,후지,상품,개,10.0,22037.0,0.0,22490.0,26177.0,22842.3333333333
431,202212하순,411.0,사과,5.0,후지,상품,개,10.0,21644.0,0.0,22303.0,25952.0,22812.3333333333
432,201901상순,412.0,배,1.0,신고,상품,개,10.0,36310.0,0.0,34577.0,28312.0,29738.6666666666
433,201901중순,412.0,배,1.0,신고,상품,개,10.0,36997.0,0.0,35128.0,28290.0,29721.0
434,201901하순,412.0,배,1.0,신고,상품,개,10.0,39020.0,0.0,36299.0,28324.0,30387.3333333333
435,201902상순,412.0,배,1.0,신고,상품,개,10.0,40269.0,0.0,36310.0,28113.0,30763.3333333333
436,201902중순,412.0,배,1.0,신고,상품,개,10.0,38450.0,0.0,36997.0,28294.0,30434.6666666666
437,201902하순,412.0,배,1.0,신고,상품,개,10.0,38635.0,0.0,39020.0,28129.0,31059.3333333333
438,201903상순,412.0,배,1.0,신고,상품,개,10.0,38477.0,0.0,40269.0,27435.0,31550.3333333333
439,201903중순,412.0,배,1.0,신고,상품,개,10.0,38730.0,0.0,38450.0,27543.0,31180.6666666666
440,201903하순,412.0,배,1.0,신고,상품,개,10.0,38835.0,0.0,38635.0,27942.0,31139.0
441,201904상순,412.0,배,1.0,신고,상품,개,10.0,38855.0,0.0,38477.0,28129.0,30531.0
442,201904중순,412.0,배,1.0,신고,상품,개,10.0,38745.0,0.0,38730.0,28140.0,30333.3333333333
443,201904하순,412.0,배,1.0,신고,상품,개,10.0,38809.0,0.0,38835.0,27779.0,30569.0
444,201905상순,412.0,배,1.0,신고,상품,개,10.0,39511.0,0.0,38855.0,28143.0,30930.0
445,201905중순,412.0,배,1.0,신고,상품,개,10.0,39963.0,0.0,38745.0,28288.0,31311.6666666666
446,201905하순,412.0,배,1.0,신고,상품,개,10.0,39913.0,0.0,38809.0,28179.0,31906.0
447,201906상순,412.0,배,1.0,신고,상품,개,10.0,40033.0,0.0,39511.0,27790.0,32499.6666666666
448,201906중순,412.0,배,1.0,신고,상품,개,10.0,41507.0,0.0,39963.0,27844.0,32972.6666666666
449,201906하순,412.0,배,1.0,신고,상품,개,10.0,43013.0,0.0,39913.0,28322.0,33396.0
450,201907상순,412.0,배,1.0,신고,상품,개,10.0,43830.0,0.0,40033.0,28555.0,33741.0
451,201907중순,412.0,배,1.0,신고,상품,개,10.0,44998.0,0.0,41507.0,28595.0,34130.0
452,201907하순,412.0,배,1.0,신고,상품,개,10.0,45877.0,0.0,43013.0,28632.0,33537.3333333333
453,201908상순,412.0,배,1.0,신고,상품,개,10.0,45823.0,0.0,43830.0,28352.0,33353.6666666666
454,201908중순,412.0,배,1.0,신고,상품,개,10.0,45736.0,0.0,44998.0,28464.0,32948.3333333333
455,201908하순,412.0,배,1.0,신고,상품,개,10.0,43486.0,0.0,45877.0,28192.0,31131.3333333333
456,201909상순,412.0,배,1.0,신고,상품,개,10.0,36613.0,0.0,45823.0,26699.0,30056.3333333333
457,201909중순,412.0,배,1.0,신고,상품,개,10.0,34958.0,0.0,45736.0,35206.0,29951.3333333333
458,201909하순,412.0,배,1.0,신고,상품,개,10.0,34803.0,0.0,43486.0,36263.0,30185.6666666666
459,201910상순,412.0,배,1.0,신고,상품,개,10.0,33689.0,0.0,36613.0,35528.0,30057.3333333333
460,201910중순,412.0,배,1.0,신고,상품,개,10.0,32626.0,0.0,34958.0,33137.0,29397.0
461,201910하순,412.0,배,1.0,신고,상품,개,10.0,32074.0,0.0,34803.0,33051.0,28584.0
462,201911상순,412.0,배,1.0,신고,상품,개,10.0,31478.0,0.0,33689.0,33505.0,28183.0
463,201911중순,412.0,배,1.0,신고,상품,개,10.0,30789.0,0.0,32626.0,33602.0,28230.6666666666
464,201911하순,412.0,배,1.0,신고,상품,개,10.0,30527.0,0.0,32074.0,34202.0,28497.3333333333
465,201912상순,412.0,배,1.0,신고,상품,개,10.0,31030.0,0.0,31478.0,34577.0,28713.6666666666
466,201912중순,412.0,배,1.0,신고,상품,개,10.0,31423.0,0.0,30789.0,35128.0,29381.0
467,201912하순,412.0,배,1.0,신고,상품,개,10.0,31549.0,0.0,30527.0,36299.0,29471.6666666666
468,202001상순,412.0,배,1.0,신고,상품,개,10.0,32191.0,0.0,31030.0,36310.0,29738.6666666666
469,202001중순,412.0,배,1.0,신고,상품,개,10.0,32249.0,0.0,31423.0,36997.0,29721.0
470,202001하순,412.0,배,1.0,신고,상품,개,10.0,31685.0,0.0,31549.0,39020.0,30387.3333333333
471,202002상순,412.0,배,1.0,신고,상품,개,10.0,30074.0,0.0,32191.0,40269.0,30763.3333333333
472,202002중순,412.0,배,1.0,신고,상품,개,10.0,31786.0,0.0,32249.0,38450.0,30434.6666666666
473,202002하순,412.0,배,1.0,신고,상품,개,10.0,32914.0,0.0,31685.0,38635.0,31059.3333333333
474,202003상순,412.0,배,1.0,신고,상품,개,10.0,32903.0,0.0,30074.0,38477.0,31550.3333333333
475,202003중순,412.0,배,1.0,신고,상품,개,10.0,33513.0,0.0,31786.0,38730.0,31180.6666666666
476,202003하순,412.0,배,1.0,신고,상품,개,10.0,32331.0,0.0,32914.0,38835.0,31139.0
477,202004상순,412.0,배,1.0,신고,상품,개,10.0,32093.0,0.0,32903.0,38855.0,30531.0
478,202004중순,412.0,배,1.0,신고,상품,개,10.0,32593.0,0.0,33513.0,38745.0,30333.3333333333
479,202004하순,412.0,배,1.0,신고,상품,개,10.0,32784.0,0.0,32331.0,38809.0,30569.0
480,202005상순,412.0,배,1.0,신고,상품,개,10.0,33112.0,0.0,32093.0,39511.0,30930.0
481,202005중순,412.0,배,1.0,신고,상품,개,10.0,32948.0,0.0,32593.0,39963.0,31311.6666666666
482,202005하순,412.0,배,1.0,신고,상품,개,10.0,32668.0,0.0,32784.0,39913.0,31906.0
483,202006상순,412.0,배,1.0,신고,상품,개,10.0,32951.0,0.0,33112.0,40033.0,32499.6666666666
484,202006중순,412.0,배,1.0,신고,상품,개,10.0,33685.0,0.0,32948.0,41507.0,33018.3333333333
485,202006하순,412.0,배,1.0,신고,상품,개,10.0,33963.0,0.0,32668.0,43013.0,34036.6666666666
486,202007상순,412.0,배,1.0,신고,상품,개,10.0,34443.0,0.0,32951.0,43830.0,34128.3333333333
487,202007중순,412.0,배,1.0,신고,상품,개,10.0,34696.0,0.0,33685.0,44998.0,34130.0
488,202007하순,412.0,배,1.0,신고,상품,개,10.0,35224.0,0.0,33963.0,45877.0,33537.3333333333
